1774003603688781,1,0,ANON_5G_CON_IMSI_B0_79c73d1be25fafbc6f87d7724ba5cfdc4378118c5db953bea63baef9ea7c74459f46e3fb46e326994d532fa6dc
1774003605848630,2,0,ANON_5G_CON_IMSI_B0_79c73d1be25fafbc6f87d7724ba5cfdc4378118c5db953bea63baef9ea7c74459f46e3fb46e326994d532fa6dc
1774003607948603,3,0,ANON_5G_CON_IMSI_B0_79c73d1be25fafbc6f87d7724ba5cfdc4378118c5db953bea63baef9ea7c74459f46e3fb46e326994d532fa6dc
1774003610093439,4,0,ANON_5G_CON_IMSI_B0_79c73d1be25fafbc6f87d7724ba5cfdc4378118c5db953bea63baef9ea7c74459f46e3fb46e326994d532fa6dc
1774003612233476,5,0,ANON_5G_CON_IMSI_B0_79c73d1be25fafbc6f87d7724ba5cfdc4378118c5db953bea63baef9ea7c74459f46e3fb46e326994d532fa6dc
1774007818789326,1,ANON_IMSI_A1,0
1774007828989360,2,ANON_IMSI_A1,0
1774009449717001,1,ANON_IMSI_A1,0
1774009459916956,2,ANON_IMSI_A1,0
1774009470096880,3,ANON_IMSI_A1,0
1774009754876485,1,ANON_IMSI_A1,0
1774009765056602,2,ANON_IMSI_A1,0
1774009775236426,3,ANON_IMSI_A1,0
1774009785441477,4,ANON_IMSI_A1,0
1774009795601448,5,ANON_IMSI_A1,0
1774010116804781,1,0,ANON_5G_CON_IMSI_A0_032ed01c60d7466a640df52c3f5accb1bf55b9389e5e03ad9b57bfe64addb5762721e78a2e3b1a0c4b12920e2e59
1774010126944626,2,0,ANON_5G_CON_IMSI_A0_032ed01c60d7466a640df52c3f5accb1bf55b9389e5e03ad9b57bfe64addb5762721e78a2e3b1a0c4b12920e2e59
1774013092336084,1,ANON_IMSI_A1,0
1774013738794785,1,ANON_IMSI_A1,0
1774013748974724,2,ANON_IMSI_A1,0
1774014044658736,1,ANON_IMSI_A1,0
1774014054858688,2,ANON_IMSI_A1,0
1774014065058726,3,ANON_IMSI_A1,0
1774014075283835,4,ANON_IMSI_A1,0
